Question,Type,Image ,Camera View,Ground Truth,Response,Residual Error ,Point on Mask?,Correct ?,Notes
"Given that peg G is 0.2cm wide, estimate the straight line distance in cm between peg G and peg A",Distance Given Large Peg (linear distance),1A,Side,13.12 cm,~7.5 - 8.5 cm,,,No,TODO: Describe criteria for correctness
"Given that peg G is 0.2cm wide, estimate the straight line distance in cm between peg G and peg A",Distance Given Large Peg (linear distance),1B,Mid,13.12 cm,13.5 cm ±1.5 cm,,,Yes,
"Given that peg G is 0.2cm wide, estimate the straight line distance in cm between peg G and peg A",Distance Given Large Peg (linear distance),1C,Overhead,13.12 cm,~11 cm,,,No,
" Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg F and peg B",Distance Given Board Spacing (linear distance),1B,Mid,8.56 cm,~4.5 cm,,,No,
" Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg F and peg B",Distance Given Board Spacing (linear distance),1C,Overhead,8.56 cm,~8.5 cm,,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg D.",Distance Given Mix Dimensions (linear distance),1A,Side,5.32 cm,~3.4 - 3.8 cm,,,No,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg D.",Distance Given Mix Dimensions (linear distance),1B,Mid,5.32 cm,~5.5 - 6.5 cm,,,Very close,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg D.",Distance Given Mix Dimensions (linear distance),1C,Overhead,5.32 cm,~5.3 cm,,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 3cm tall, peg D is 1cm tall, estimate the straight-line distance in cm between their tops. Explain which of the references you used as your scale and why.",Distance Given Mix Dimensions (between tops),1A,Side,5.68 cm,~ 4.74 cm,,,Close,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 3cm tall, peg D is 1cm tall, estimate the straight-line distance in cm between their tops. Explain which of the references you used as your scale and why.",Distance Given Mix Dimensions (between tops),1B,Mid,5.68 cm,~6.16 cm,,,No,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 3cm tall, peg D is 1cm tall, estimate the straight-line distance in cm between their tops. Explain which of the references you used as your scale and why.",Distance Given Mix Dimensions (between tops),1C,Overhead,5.68 cm,~7.48 cm,,,No,
"Given that these pegboard holes are spaced 0.5cm apart, the gripper's fingers are 8cm apart when open, estimate the distance in cm between peg C and peg D.",Distance Given Mix Dimensions (with gripper dist),1D,Far from camera,5.32 cm,~5.15 cm,,,Very close,"Interestingly close, given how far the distance from the camera is"
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg C.",Distance Given Mix Dimensions (spacing -> width),1A,Side,1.17 cm ,~0.8 - 1.1 cm ,,,Very close,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D.",Distance Given Mix Dimensions (spacing -> width),1A,Side,0.20 cm, 0.25 - 0.4 cm,,,Close,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg C .",Distance Given Mix Dimensions (spacing -> width),1B,Mid,1.17 cm ,~ 1.0 - 1.25 cm  ,,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D.",Distance Given Mix Dimensions (spacing -> width),1B,Mid,0.20 cm,~0.5 cm,,,No,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg C.",Distance Given Mix Dimensions (spacing -> width),1C,Overhead,1.17 cm ,~1.5 cm,,,Close,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D.",Distance Given Mix Dimensions (spacing -> width),1C,Overhead,0.20 cm,~0.5 cm,,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg C.",Distance Given Mix Dimensions (depth -> height),1A,Side,3 cm,~3.4 cm,,,Very close,
"Given that the board is 0.4cm tall, estimate the height in cm of peg D.",Distance Given Mix Dimensions (depth -> height),1A,Side,1 cm,~1.3 cm,,,Very close,
"Given that the board is 0.4cm tall, estimate the height in cm of peg C.",Distance Given Mix Dimensions (depth -> height),1B,Mid,3 cm,~5.0 cm,,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg D.",Distance Given Mix Dimensions (depth -> height),1B,Mid,1 cm,~2.2 cm,,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg C.",Distance Given Mix Dimensions (depth -> height),1C,Overhead,3 cm,~4.0 cm,,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg D.",Distance Given Mix Dimensions (depth -> height),1C,Overhead,1 cm,~0.8 cm,,,No,
Estimate the straight line distance in cm between peg H and peg E.,Distance Given No Clue (linear distance),1A,Side,16.56 cm,~12 - 15 cm  ,,,Very close,
Estimate the straight line distance in cm between peg H and peg E.,Distance Given No Clue (linear distance),1B,Mid,16.56 cm,~15 - 17 cm,,,Yes,
Estimate the straight line distance in cm between peg H and peg E.,Distance Given No Clue (linear distance),1C,Overhead,16.56 cm,~17 - 19 cm,,,Very close,
Estimate the straight line distance in cm between the tops of peg H and peg E.,Distance Given No Clue (between tops),1A,Side,16.58 cm,~12 - 15 cm  ,,,Very close,
Estimate the straight line distance in cm between the tops of peg H and peg E.,Distance Given No Clue (between tops),1B,Mid,16.58 cm,~15 - 18 cm,,,Yes,
Estimate the straight line distance in cm between the tops of peg H and peg E.,Distance Given No Clue (between tops),1C,Overhead,16.58 cm,~18 - 22 cm,,,No,
"Given that these pegboard holes are spaced 0.5cm apart, point to the largest peg and give its approximate pixel coordinates.",Pointing Question (largest peg),1A,Side,"{""label"": ""B"", ""mask_path"": ""masks/setup1_side_view_label_B_mask.png"", ""physical_xy_coordinates"": [6.5, 2.5], ""unit"": ""cm""}","[{""point"": [369, 457], ""label"": ""B""}]",,,,
"Given that these pegboard holes are spaced 0.5cm apart, point to the largest peg and give its approximate pixel coordinates.",Pointing Question (largest peg),1B,Mid,"{""label"": ""B"", ""mask_path"": ""masks/setup1_mid_view_label_B_mask.png"", ""physical_xy_coordinates"": [6.5, 2.5], ""unit"": ""cm""}","[{""point"": [468, 381], ""label"": ""B""}]",,,,
