Question,Type,Image,Camera View,Ground Truth,Response,Residual Error,Point on Mask?,Correct ?,Notes
"Given that peg G is 0.2cm wide, estimate the straight line distance in cm between peg G and peg A",Distance Given Large Peg (linear distance),1A,Side,13.12 cm,~7.5 - 8.5 cm,5.12,,No,TODO: Describe criteria for correctness
"Given that peg G is 0.2cm wide, estimate the straight line distance in cm between peg G and peg A",Distance Given Large Peg (linear distance),1B,Mid,13.12 cm,13.5 cm ±1.5 cm,-0.38,,Yes,
"Given that peg G is 0.2cm wide, estimate the straight line distance in cm between peg G and peg A",Distance Given Large Peg (linear distance),1C,Overhead,13.12 cm,~11 cm,2.12,,No,
" Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg F and peg B",Distance Given Board Spacing (linear distance),1B,Mid,8.56 cm,~4.5 cm,4.06,,No,
" Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg F and peg B",Distance Given Board Spacing (linear distance),1C,Overhead,8.56 cm,~8.5 cm,0.06,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg D.",Distance Given Mix Dimensions (linear distance),1A,Side,5.32 cm,~3.4 - 3.8 cm,1.72,,No,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg D.",Distance Given Mix Dimensions (linear distance),1B,Mid,5.32 cm,~5.5 - 6.5 cm,-0.68,,Very close,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg D.",Distance Given Mix Dimensions (linear distance),1C,Overhead,5.32 cm,~5.3 cm,0.02,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 3cm tall, peg D is 1cm tall, estimate the straight-line distance in cm between their tops. Explain which of the references you used as your scale and why.",Distance Given Mix Dimensions (between tops),1A,Side,5.68 cm,~ 4.74 cm,0.94,,Close,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 3cm tall, peg D is 1cm tall, estimate the straight-line distance in cm between their tops. Explain which of the references you used as your scale and why.",Distance Given Mix Dimensions (between tops),1B,Mid,5.68 cm,~6.16 cm,-0.48,,No,
